,report_text,Bioagressor,Disease,hazard_list,source_name
281,"d ’Agriculture 41, Chambre d ’Agriculture 28, GROCE P, PARMENTINE , POM ALLIANCE SA, SA FERME DES ARCHES, SA PISSIER, SARL SAINVILLE-AGRI-NEGOCE, TERRE DE FRANCE, TERR LOIRE, Bulletin édité sous la responsabilité de la Chambre régionale d ’agriculture du Centre. Ce bulletin est produit à partir d ’observations pon ctuelles. Il donne une tendance de la situation sanitaire régionale, qui ne peut pas être transposée telle quelle à la parcelle. La Chambre régionale d ’agriculture du Centre dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures.",0,0,,BSV_Pomme_de_terre_Centre_2010_no9_cle83dd41
282,"BULLETIN DE SANTE DU VEGETAL M ID I -PYRENEES Ail n°14 Récolte : En cours pour l'ail violet. Dans une semaine pour l'ail blanc. Fin juin pour l'ail rose. STADES PHÉNOLOG IQUES Zone Cadours : Fin de bulbaison. Début des récoltes. • Zone Lomagne : Fin de bulbaison. Début des récoltes à partir du 20 juin. • Zone Lautrec : Bulbaison. Selon le développement des variétés,",0,0,,14_bsv_ail_14062012_V3-2
283,"l'ablation de la hampe • florale, ou « despoulinage », est en cours ou terminé. Il existe une relation entre le poids des bulbes et le poids des feuilles à calculer pour déclencher la récolte. En effet, une récolte à maturité favorise une bonne conservation de l'ail. Contactez votre technicien pour plus d'information. ÉTAT GÉNÉRAL DES CULTURES • Rouille de l'ail (Puccinia allii) Cette semaine, des pustules de rouille sont observées sur 5 parcelles suivies dans le Gers, le Tarn et le Tarn-et-Garonne sur 8 parcelles faisant l'objet d'un comptage dans le réseau. Localisation de la Variétés % de plantes Niveau de contamination atteintes parcelle Gers Messidor, Sabadrôme Tarn Germidour Messidor Ibérose Ibérose Ibérose < 5%",0,1,#rouille #rouille de l'ail ,14_bsv_ail_14062012_V3-2
284,"84% 40% 12% 0% 0% Moins de 10 pustules Entre 10 et 100 pustules par plante Entre 10 et 100 pustules par plante Entre 10 et 100 pustules par plante Action pilotée par le Ministère chargé de l'agriculture, avec l’appui financier de l’Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au finance- ment du plan Ecophyto 2018. Directeur de publication : Jean-Louis CAZAUBON Président de la Chambre Régionale d'Agriculture de Midi-Pyrénées BP 22107 – 31321 CASTANET TOLOSAN Cx Tel 05.61.75.26.00 – Fax 05.61.73.16.66 Dépôt légal : à parution ISSN en cours BULLETIN DE SANTÉ DU VÉGÉTAL – AIL N° 14 du 14 JUIN 2012 – Page 1/3 Tarn-et-Garonne Messidor, Messidrôme, Germidour Messidor, Messidrôme, Sabadrôme 0% 5% Moins de 10 pustules Évaluation du risque : Le risque est dépassé pour l'ail blanc et l'ail violet qui sont en cours de récolte. Pour l'ail rose, le risque est maintenu élevé. • Pourriture blanche (Sclerotinium cepivorum) Des parcelles du réseau d'observation, dans la Haute-Garonne, le Tarn et le Tarn-et-garonne ont fait l'objet de précédentes observations d'attaque de pourriture blanche . Évaluation du risque : Lors de l'observation de symptômes de maladie dans une parcelle, veillez à ne pas récolter ces plantes. Celles-ci doivent cependant être arrachées, puis être enlevées du champ et brûlées, pour éviter la contamination de la parcelle par",0,1,#pourriture #pourriture blanche ,14_bsv_ail_14062012_V3-2
285,une augmentation du stock de sclérotes dans le,0,0,,14_bsv_ail_14062012_V3-2
286,sol. • Café au lait Sa présence reste limitée dans le réseau d'observation.,0,0,,14_bsv_ail_14062012_V3-2
288,"pourpre de Stemphylium sur feuille verte _ CA32 Taches de Stemphylium sur feuille sèche _ CA81 Évaluation du risque : En fin de cycle sur des plantes blessées ou malades, ce champignon peut occasionner une importante défoliation. Ceci peut impacter le rendement et aussi rendre délicate la récolte mécanique. BULLETIN DE SANTÉ DU VÉGÉTAL – AIL N° 14 du 14 JUIN 2012 – Page 2/3 • Nématode des tiges et des bulbes (Ditylenchus dipsaci) Les adultes peuvent atteindre 1 mm de longueur. Au stade du grossissement des bulbes, les attaques provoquent un éclatement des bulbes par la base, accompagné d'une pourriture rougeâtre. Les attaques apparaissent souvent par foyer. Dans le réseau d'observation, 3 parcelles sur les 15 visitées, présentent des attaques de nématodes. Évaluation du risque : Les larves peuvent se conserver enroulées sur elles-mêmes dans les tuniques ou les plateaux de bulbes ayant subi des attaques peu marquées. L'infection peu Pourriture du plateau racinaire suite à une rester latente pendant plusieurs années sans s'exprimer au sein attaque de nématode _",1,1,#nématode #pourriture ,14_bsv_ail_14062012_V3-2
289,"CA81 d'un lot de semences non certifiées ; des conditions favorables (printemps précoce et pluvieux) entraîneront une explosion de l'infection. L'achat de semences certifiées est donc à privilégier. Ce BSV n°14 est le dernier de la saison. Un bilan sanitaire de la campagne fera l’objet d'un prochain BSV édité durant l'été. REPRODUCTION DU BULLETIN AUTORISÉ SEULEMENT DANS SON INTÉGRALITÉ (REPRODUCTION PARTIELLE INTERDITE) Ce bulletin de santé du végétal a été préparé par l’animateur filière Ail de la Chambre d'agriculture du Tarn et élaboré sur la base des observations réalisées par les conseillers des Chambres d'agriculture de Haute-Garonne, Gers, Tarn et Tarn-et- Garonne, le CEFEL et les techniciens de la coopérative",0,0,,14_bsv_ail_14062012_V3-2
292,"N°7 – 11 juillet 2013 ANIMATEURS FILIERE KANE Kadidiatou / ANITTA email : kadi.kane@anitta.asso.fr LINON Colette / PERIGORD TABAC email : c.linon@wanadoo.fr Directeur de publication : Dominique Graciet, Président de la Chambre régionale d'agriculture d'Aquitaine Cité mondiale 6, Parvis des Chartrons 33075 Bordeaux cedex Tél.",0,0,,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
293,"Fax  Supervision : DRAAF / Service Régional de l'Alimentation Aquitaine 51, rue Kièser 33077 Bordeaux cedex Tél.  gouv.fr/ Les structures partenaires dans la réalisation des observations nécessaires à l'élaboration du Bulletin de santé du végétal d'Aquitaine Tabac sont les suivantes : ANITTA ; Périgord Tabac ; Tabac Garonne Adour Donnez-nous votre avis sur le BSV Tabac : Enquête satisfaction BSV Tabac Ce qu'il faut retenir • Des retards de végétation de 10 à 20 jours. • Les tabacs vont du stade « reprise » au stade « montaison » avec des",0,0,,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
294,"parcelles très hétérogènes • Malgré des binages généralisés dans toutes les zones les adventices prolifèrent. • Quelques pucerons ailés sur le Lot et Garonne, la Dordogne et le Puy de Dôme. • Orobanche : le stade tiges souterraines s'approche. • Mildiou : le risque d’épidémie est réel. Stade de la culture Les tabacs plantés dans la première quinzaine de mai, sont au stade début montaison. Les derniers plantés sont actuellement au stade reprise. Toutes les plantations, affectées par les aléas climatiques de ces 2 derniers mois, ont de grosses difficultés d'enracinement. - secteur de Guinarthe Parentis (64) : développement très lent, binage et décompactage sont en cours, - secteur de Corrèze, difficultés d'enracinement. On observe un retard de végétation de semaines suivant les zones, et une grande hétérogénéité des plantations. Des difficultés de reprise sont observées sur la parcelle de référence de Tartas (40), malgré les binages. La parcelle de Charre (64) est propre, mais a un développement très lent. La parcelle de référence de Limeuil (24), plantée précocement, en sol sableux est au stade début montaison. Bulletin de Santé du Végétal",1,1,#puceron #adventice #mildiou ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
295,"Aquitaine – Tabac N°7 – 11 juillet / 9 Observations sanitaires (réalisées sur 315 ha visités) Maladies • Botrytis sur champ La maladie est présente sur 3 ha sur la Corrèze avec de légers dégâts (<à1%). Sur le secteur de Thuret (63), les surfaces atteintes n'ont pas progressé, mais la reprise des tabacs est très lente. • Olpidium Présent sur plusieurs parcelles du secteur du Buisson (24), l'olpidium est observé par zones, avec de fortes pressions qui entraînent la mortalité des plants (10% de la surface sont perdus sur 7 ha). • Mildiou (peronospora tabacina) Description : Genre Oomycètes, famille des Péronosporacées. La spore du mildiou du tabac germe à la surface de la feuille en 6-10 heures. Le mycélium se développe à l’intérieur des cellules. La surface inférieure est alors colonisée et des fructifications y apparaissent. Les conditions de développement : • Hygrométrie élevée (>70%) • Température : 16° à 23°C • Temps couvert • Eau libre sur les feuilles • Tabac sensible Dégâts : Sur feuille, on observe des tâches vert-jaunâtre sur la face supérieure et selon le stade de développement, un feutrage gris-bleu à la face inférieure. Il peut devenir « systémique », quand il gagne les nervures puis la tige. Il démarre au niveau des feuilles basses et évolue vers la cime, altère la croissance des plantes. Les feuilles arrivent à se nécroser. Mesures de prophylaxie : Planter du plant sain et choisir les variétés les moins sensibles possibles. Estimation du risque : Aucune observation du parasite à",1,1,#ver #mildiou ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
300,"4-5 jours. Il semble que c’est à partir du 3 ème stade larvaire que se produisent les dégâts. La nuit, ils se déplacent à la surface du sol et s’enterrent dans le sol (quelques cm), le jour. Ils sont très voraces après chaque mue. Bulletin de Santé du Végétal Aquitaine – Tabac N°7 – 11 juillet / 9 Dégâts : Les dégâts s’observent facilement le matin. Les pieds sont fanés, rongés au collet voire même sectionnés sur le sol. En cherchant, on trouve souvent la chenille enroulée sous terre à la base",1,0,#chenille ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
301,du pied. Mesures prophylactiques contre le ver gris : - Labour - Maintenir la parcelle et ses abords propres dès la mi-avril. - Sarclage – binage Estimation du risque : 5 Agrostis ipsilon ont été relevés dans,1,0,#ver ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
302,"les pièges sur la parcelle de référence de Proissans (24). Sur les tours de plaine, le vers gris est présent en Dordogne sur 2 ha dans le Bergeracois (24) et sur 3 ha dans le Sarladais (24) sous forme de trace. Agrotis ipsilon au 09/07/2013 Piégeages A. ipsilon dans le tabac 5 adultes d’Agrotis ipsilon ont été observés dans les pièges de la parcelle de référence de Proissans (24). Agrotis segetum au 09/07/2013 Piégeages A. segetum dans le tabac Pour l’instant, les insectes sont observés uniquement dans les pièges de la parcelle de Bergerac. Les captures sont en progression par rapport au 13 juin. Bulletin de Santé du Végétal Aquitaine – Tabac N°7 – 11 juillet / 9 • Pucerons",1,0,#ver #puceron ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
303,"Description : Comme en pépinière, deux types de pucerons se retrouvent sur tabac au champ. Les espèces dites migrantes (Aphis fabae (Scopoli), Aphis. gossypii (Glover), …) et les espèces sédentaires avec principalement Myzus persicae. Dégâts : La présence de pucerons au moment de la plantation est un facteur de risque de viroses et peut engendrer une prolifération par la suite sur la culture. On arrive alors à voir des dégâts directs sur le développement et l’équilibre physico-chimique des tabacs ainsi que la formation de fumagine. Mesures prophylactiques : La seule prophylaxie passe par des observations régulières pour tenter de stopper les toutes premières infestations. Estimation du risque : Des pucerons ailés noirs sont aperçus sans conséquence sur les secteurs de Saint Sardos, Vianne (47) sur 2 ha ainsi que sur les secteur du Buisson (24) sur 3 ha et à Ennezat (63) 2 ha. Sans dégâts. • Limaces Elles sont localisées par zones sur Saint Maurin (47) avec une forte attaque ayant pour conséquence 0,8 ha de détruit. La parcelle de référence de Vianne (47), présente quelques dégâts inférieurs à 20%. • Aleurodes 10 individus ont été relevés sur les pièges de la parcelles de référence d'Ennezat (63). • Cicadelle vectrice du stolbur : Hyalesthes obsoletus Mesures prophylactiques : La",1,0,#cicadelle #ver #puceron #aleurode ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
304,"seule prophylaxie passe par des observations régulières pour tenter de stopper les toutes premières infestations. Estimation du risque : Les seuils de température Liseron et Ortie étant dépassés dans toutes les stations, le suivi se fait désormais sur la visualisation des cicadelles relevées dans les pièges. A ce jour, aucun individu n’a été signalé. Bulletin de Santé du Végétal Aquitaine – Tabac N°7 – 11 juillet / 9 Adventices et plantes parasites • Les adventices Bien que les binages se soient généralisés, les adventices restent problématiques sur : - Sarlat (24) (amarante + renouée des oiseaux, panic...) - Puy de Dôme (chénopodes, morelles, ambroisie au stade plantule...) - St Sylvestre (47) (xanthium, chénopodes,liserons renouées) sur 50% des surfaces visitées - Bergerac (24) (liseron, amarante, graminées) - Départements 64/40/65 (morelle noire, chénopodes, renouées persicaires, datura, agrostis) - Corrèze (chénopodes, morelle noire, liserons,amarante, matricaire) • L’orobanche rameuse Rappel des stades et de la somme de température correspondante Somme des T° pour la dynamique de développement de l’orobanche rameuse Date 24/06/13 08/07/13",1,0,#cicadelle #adventice ,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
306,Lot) Les captures sont en hausse cette semaine dans la vallée du Lot :,0,0,,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
307,"5 prises à Ste Livrade sur Lot et Granges sur Lot. Secteur Meilhan sur Garonne : 1 tuta. (NB : pas de renseignement pour le site de St Pardoux du Breuil et de Tarnos). au 09/07/2013 Agrotis segetum - Piégeages A. segetum en Aquitaine 5 papillons ont été piégés le 8 juillet dans le Nord 47-24, en culture de tabac. Bulletin de Santé du Végétal Aquitaine – Tabac N°7 – 11 juillet / 9 au 09/07/2013 Agrotis ipsilon - Piégeages A. ipsilon en Aquitaine au 09/07/2013 Heliotis armigera au 09/07/2013 Autographa gamma 6 captures ont été enregistrées dans le secteur des Gaves, le 4 juillet. 3",0,0,,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
310,"(ENTOMO-REMEDIUM), Prof. Yamina Guenaoui, SRAL Aquitaine. Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut-",0,0,,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
311,"être transposée telle quelle à la parcelle. La Chambre régionale d'agriculture d'Aquitaine dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures et les invite à prendre ces décisions sur la base des observations qu'ils auront réalisées sur leurs parcelles et/ou en s'appuyant sur les préconisations issues de bulletins techniques (la traçabilité des observations est nécessaire). "" Action pilotée par le Ministère chargé de l'agriculture, avec l’appui financier de l’Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto "". Bulletin de Santé du Végétal Aquitaine – Tabac N°7 – 11 juillet / 9",0,0,,BSV_N__7-TABAC-Aquitaine-Limousin-Auvergne-2013.07.11
312," rédigé par Stéphane LAMARCHE - FREDON Pays de la Loire Tavelure Risque calculé ce week-end. Premières taches observées en verger. Botrytis de l’œil Risque en fin de floraison. Oïdium Conditions favorables. Pucerons Pression assez forte, pré- sence de foyers. Chenilles Peu de chenilles. Hoplocampe Vol en cours. Carpocapse Premières prises. Acariens Rouges Eclosions en cours. Psylle Peu d’évolution. Cochenille / cassis Pontes observées. Ce bulletin est rédigé sur la base d’observations provenant de 8 vergers situés en Loire- Atlantique, Maine-et-Loire et en Sarthe. S’ajoutent les observations et signalements des acteurs de la filière présents sur l’ensemble de la région.  Météorologie Une baisse des températures matinales est prévue en milieu de semaine. Les pluies devraient revenir au cours de la nuit de mercredi à jeudi, avant le retour d’éclaircies dans l’après-midi. Pour le week-end prolongé, des averses sont annoncées. A confirmer. Ces précipitations seront favorables aux maladies fongiques et bactériennes. Retrouvez le bulletin de santé du végétal sur le web...  www.draaf.pays-de-la-loire.agriculture.gouv.fr  www.paysdelaloire.chambagri.fr  www.fredonpdl.fr … ou inscrivez-vous en ligne pour être infor- mé directement par mail de chaque nou- velle parution : www.paysdelaloire.chambagri.fr/menus-horizontaux- agrilianet/vegetal/surveillance-biologique-du- territoire/sinscrire-au-bsv-cest-gratuit.html Page – N ° POMMES—POIRES  Phénologie  Tavelure Pour rappel, le risque de contamination primaire n’est pré- sent que si les trois conditions suivantes sont réunies : Stade sensible atteint à l’apparition des organes 1. verts (stade",1,1,#chenille #acarien #carpocapse #hoplocampe #psylle #puceron #oïdium #tavelure ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
313,"C-C3 pour le pommier et C3-D pour le poirier). Présence d’ascospores provenant des organes de conservation qui les libèrent à maturité lors des pluies. Humectation du feuillage suffisamment longue pour que les spores puissent germer. La vitesse de germi- nation est dépendante de la température. 3. 2. Observations biologiques Au verger, les",0,0,,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
316,"resterait au maximum 15% de spores non matures pour aller au bout de la pé- riode des contaminations primaires. Evolution du risque La maturation des spores se poursuit et les prochaines pluies annoncées entraîneront de nouvelles projections. Surveiller l’apparition des premières taches. Page – N °  Modèle tavelure RIMpro Les données de ce modèle sont ajoutées à ce bulletin à titre indicatif. Les possibilités de paramétrage du modèle RIMpro peuvent conduire à des résultats parfois éloignés entre utili- sateurs et éloignés des autres modèles. Ainsi, si l’on se réfère au modèle DGAL, validé en Pays de la Loire, le paramétrage initial de RIMpro semble su- restimer la vitesse de maturation des spores et leur nombre projeté lors des épisodes pluvieux. Les conséquences sont des valeurs de RIM majorées et une période de contaminations primaires écourtée. Résultats de la modélisation du 27/04",0,1,#tavelure ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
317,"Station de St Herblon (44) Biofix fixé au 12/03/15 D’après le modèle, un risque important a été calculé du 25/4 au 27/4. Les spores immatures sont maintenant éva- luées à 5%, contrairement au modèle DGAL qui estime le stock à environ 10%. Station de Beaucouzé (49) Biofix fixé au 10/03/15 D’après le modèle, un risque important a été",0,0,,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
319,Les mesures prophylactiques doivent être privilégiées en supprimant toute source d’inoculum détectée. Les rameaux oïdiés,0,0,,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
320,doivent être sortis de la parcelle et brû- lés. Evolution du risque Les conditions météorologiques ont favorisé,0,0,,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
323,"foyer doit être réalisée auprès du Service Régional de l’Ali- mentation (SRAl). Page – N °  Puceron cendré Observations Les pucerons cendrés doivent être surveillés de près. On trouve dans de nombreuses parcelles des débuts de colo- nies dans des feuilles enroulées, même en parcelle théori- quement bien protégées avant fleur. Les auxiliaires sont présents (Coccinelles et syrphes). Ils consomment des pucerons mais ne peuvent assurer seuls la régulation",1,0,#puceron #puceron cendré ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
324,"des populations. Evaluation du risque A surveiller car l’évolution d’abord lente devient ensuite très rapide. L’observation des pucerons au fil de la saison doit per- mettre une meilleure maîtrise des populations. Seuil de nuisibilité Détection.  Puceron lanigère Observations La reprise d’activité des pucerons lanigères est progres- sive. Des petits foyers laineux sont constatés dans les an- fractuosités du bois, sur les arbres infestés l’année passée. Evaluation du risque A surveiller et veiller à préserver son auxiliaire principal Aphelinus mali, qui pond et se développe dans le puceron lanigère. En positionnant des plaques jaunes engluées au verger, on peut suivre son vol et éviter les applications de produits, au mauvais moment, qui seraient néfastes à l’auxiliaire. Le vol du Aphelinus mali est en cours depuis 15 jours.  Chenilles défoliatrices & Tordeuses Observations Des chenilles de cheimatobies et de tordeuses sont obser- vées. Des les parcelles à historique, des chenilles de pande- mis et/ou d’archips sont présentes, sur bouquets et sur feuilles. Tordeuses Des",1,0,#chenille #chenilles défoliatrices #puceron ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
326,"la ponte se fait que si les conditions de températures crépus- culaires sont favorables. Pas de risque immédiat. La mise en place des diffuseurs pour la lutte par confusion sexuelle qui doit se faire avant l’émergence des premiers papillons doit maintenant s’achevée.  Piégeage La protection raisonnée nécessite la connaissance de l’en- semble des ravageurs potentiels sur le verger. La détection, l’identification et le dénombrement des différentes espèces, capables dans certaines situations de devenir des rava- geurs importants, sont indispensables. Le piégeage sexuel permet de surveiller la présence et l’extension éventuelle de ravageurs. Les phéromones sexuelles de synthèse permet- tent de piéger les mâles de l’espèce concernée. L’utilisation de la confusion sexuelle pour la protection contre le carpocapse a entraîné une baisse significative du nombre d’interventions avec des traitements insecticides. La recrudescence de ravageurs jusqu’à présent contrôlés par ces applications mérite d’être surveillée. Les données de piégeage ne dispensent en aucun cas de l’observation visuelle (comptage des pénétrations par exemple), ni de la pose de bandes piège.  Hoplocampe Evolution du risque Les pièges à phéromone pour tordeuses et carpocapse doi- vent être installés dès à présent, avant le début des vols. Piège Delta L’hoplocampe est un hyménoptère qui pond ses œufs dans les fleurs au stade F-F2 du pommier et du",1,0,#carpocapse #hoplocampe ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
327,"poirier. Par la suite, la larve creuse des galeries superficielles sur les très jeunes fruits, puis pénètre jusqu’aux pépins. On observe alors une perforation noirâtre du fruit d’où s’écoulent des déjections foncées. Observations Des captures, parfois nombreuses, sont enregistrées. Ce ravageur concerne surtout les parcelles bio et les varié- tés cidricoles. Pour les vergers ayant eu des dégâts les années précé- dentes, le piégeage permet de surveiller la présence des adultes. - - Hoplocampe Piège Rebell® Page – N °  Acariens rouges Observations Dans les parcelles",1,0,#acarien #hoplocampe ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
328,"où avaient été détectés des œufs d’aca- riens rouges lors des prognoses, on constate maintenant l’infestation des feuilles de rosettes. Evolution du risque Les éclosions devraient se poursuivre. Les acariens préda- teurs peuvent être en sous-effectif dans les parcelles infes- tées. Quelle que soit la situation, Il faudra veiller à préserver au- tant que possible les auxiliaires.  Cécidomyies de feuilles du pommier Observations Des cécidomyies des feuilles du pommier Dasineura mali volent depuis une semaine dans des parcelles. Evaluation du risque Elles",1,0,#acarien ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
329,laissent craindre des dégâts dans les jeunes vergers ou,0,0,,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
331,"pousse. Acarien rouge - J Cécidomyie du pommier  Auxiliaires Actuellement, les auxiliaires rencontrés dans les parcelles sont principalement les syrphes et leurs larves, grandes consommatrices de pucerons. Les coccinelles adultes sont présentes, mais ce sont leurs larves qui seront les plus actives dans les semaines à venir. Les températures plus fraîches devraient leur être moins favorables. Page 10 – N ° POIRES  Psylle Observations Présence faible. Les premiers adultes issus des pontes de l’année sont maintenant signalés. Evolution du risque Les températures de la semaine seront moins favorables aux psylles. Larves de psylles Adultes de psylles et exuvies - - J  Phytopte Observations",1,0,#acarien #psylle #puceron ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
333,"prophylactiques sont envisageables en élimi- nant les parties atteintes. Page 11 – N °  Cécidomyie des feuilles du poirier Observations Des dégâts de cécidomyies des feuilles du poirier sont cons- tatés, surtout en verger peu ou pas traités. Les nombreux enroulements des jeunes feuilles abritent les larves. Biologie La femelle dépose ses œufs sous le rebord des feuilles en- core enroulées. La larve se nourrit du contenu cellulaire des feuilles. Une partie des larves se nymphose à l'intérieur de la feuille enroulée, les autres tombent sur le sol où elles s'enterrent et restent en diapause. On compte généra- tions par an. Evaluation du risque Pour les arbres en formation (pépinières et jeunes planta- tions), l’arrêt de croissance des pousses provoqué par ce ravageur est pénalisant. Pour les arbres plus développé, l’incidence",0,0,,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
334,"est moindre. Prophylaxie Des mesures prophylactiques sont envisageables en élimi- nant les parties atteintes. Il faudra veiller à limiter la vi- gueur. Larve de Dasineura pyri Dégâts de Dasineura pyri CASSIS  Cochenille blanche du mûrier Observations Des pontes sous boucliers ont été observées la semaine dernière. Evolution du risque L’essaimage des jeunes larves pourra débuter dès l’éclo- sion de ses premières pontes. A surveiller. Page 12 – N ° Ce bulletin est produit à partir d’observations ponctuelles. S’il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. La CRAPL dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures et les invite à prendre ces décisions sur la base des observations qu’ils auront réalisées sur leurs parcelles.",1,0,#chenille ,www.paysdelaloire.chambagri.fr_fileadmin_documents_crapl_internet_listes_SBT_BSV_BSV_Arboriculture_bsv_2015_20150427_bsv_arboriculture
335,"N°28 25 octobre 2011 En Bref Colza (p. 2) • • • Les colzas sont entre les stades « 12 feuilles ». Le stade de sensibilité aux pr incipaux rava- geurs est passé. Pour les parcelles les plus tardives, les pucerons seront encore à surveiller (p 3). Pour les autres, un comptage des larves d’altises d’hiver dans les pétioles est à env isager. L’état sanitaire est cor rect. Le r isque ma ladie est globalement faible (p 3). Blé (p. 4) Les semis sont en cours. la surveillance dans les parcelles v is-à-v is des limaces et des pucerons peut commencer . • • Pièges à pucerons (Source : Feredec Bretagne) Retrouvez les BSV sur le site de la Chambre Régionale d’Agriculture ou le site de la DRAAF www.bulletinduvegetal.synagri.com  . LE COLZA 40 parcelles suiv ies cette semaine (Côtes d’Armor : 11, Finistère : 9, Ille-et-Vilaine : 14 et Morbihan : 6). Page 2 Page 2 Larves d’altises d’hiver Le risque est maintenant lié à la présence des larves d’alti- ses d’hiver qui peuvent être présentes dans les pétioles, surtout pour les colzas peu développés. Un cas a été signalé cette",1,0,#puceron #altise ,BSV_No28_du_25-10-11_cle03b851
336,semaine. 75% des plantes sont tou- chées avec en moyenne 2 larves par plante sur une parcelle non traitée. Période d’observation : 5—6 feuilles à la reprise de végé- tation. Seuil de nuisibilité :,0,0,,BSV_No28_du_25-10-11_cle03b851
337,"7 pieds sur 10 avec au moins une galerie (spécialement pour les parcelles les plus chéti- ves). Localisation des parcelles Stades Les stades s’échelonnent de « B5 — 5 feuilles vraies à B12 — 12 feuilles vraies » avec plus d’un tiers des parcelles ayant at- teint le stade « 10 — 12 feuilles ». 10% des parcel les n’ont pas encore atteint le stade « B6 — 6 feuilles vraies ». Elles sont situées dans l’Est des Côtes d’Armor. Altises d’hiver (Grosse altise) Le vol pour ce ravageur est pratiquement terminé : les piégea- ges ont fortement diminué. Des captures ont été effectuées sur 20 parcelles avec en moyenne 5 indiv idus dans les cuvettes jaunes. Beaucoup de parcelles dépassent le stade de sensibilité vis-à- vis des adultes de grosses altises. Page 3 Tenthrèdes de la rave Les piégeages sont quasiment nuls. Ils n’ont été effectués que sur 3 parcelles (2 individus piégés). Des dégâts ont été constatés sur 1 parcelle. Mais les attaques sont d’un niveau très fa ible, moins de 5% de surface foliaire détruite. Période d’observation : De la levée au stade « 6 feuilles ». Beaucoup de parcelles arrivent en fin de période de ris- que. Seuil de nuisibilité : Lié au dégâts (destruction de plus d’un quart de la",1,0,#altise ,BSV_No28_du_25-10-11_cle03b851
